Hotel_Name,Hotel_Rating,Hotel_Address,Disitance_to_CityCenter,AVG_Price,Review_Score,Description,Photo_Links
Splendid Venice – Starhotels Collezione,4.0 star property,"San Marco Mercerie 760, Venice, VE, 30124",3 min walk,324 €,"4,6/5",n,"['https://images.trvl-media.com/hotels/1000000/20000/13500/13476/5ca08188.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/13500/13476/6dc79f20.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/13500/13476/66aa606c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/13500/13476/7a6bf929.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/13500/13476/e8e46407.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Montecarlo,3.0 star property,"Calle Specchieri 463 San Marco, Venice, VE, 30124",1 min walk,193 €,"4,6/5",n,"['https://images.trvl-media.com/hotels/1000000/20000/14800/14796/12f3407f.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/14800/14796/456cff6c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/14800/14796/5d673f9b.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/14800/14796/edbc380b.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/14800/14796/4900403e.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Cavalletto e Doge Orseolo,4.0 star property,"Piazza San Marco 1107, Calle del Cavalletto, Venice, VE, 30124",1 min walk,255 €,"4,2/5",n,"['https://images.trvl-media.com/hotels/1000000/10000/3600/3575/f038f496.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/3600/3575/71cde1a9.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/3600/3575/0cb7bacc.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/3600/3575/2261caed.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/3600/3575/15339908.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel A LA Commedia,4.0 star property,"San Marco 4596 A, Corte Del Teatro Goldoni, Venice, VE, 30124",1 min walk,230 €,"4,7/5",n,"['https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/3241d391.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/26960af0.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/f4786188.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/5439bfe8.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/e4de9902.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Unahotels Ala Venezia - Adults Only,3.5 star property,"San Marco 2494, Campo Santa Maria Del Giglio, Venice, VE, 30124",1 min walk,246 €,"4,5/5",n,"['https://images.trvl-media.com/hotels/1000000/870000/863900/863862/44b0ddc9.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/870000/863900/863862/2e30c4e2.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/870000/863900/863862/e83206a9.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/870000/863900/863862/e4bb10ab.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/870000/863900/863862/c6106730.jpg?impolicy=resizecrop&rw=297&ra=fit']"
The Foscarini,4.0 star property,"Via Terraglio 4, Mogliano Veneto, Provincia di Treviso, 31021",6 min walk,265 €,n,n,"['https://images.trvl-media.com/hotels/79000000/78320000/78314700/78314682/3c43a103.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/79000000/78320000/78314700/78314682/1317f95b.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/79000000/78320000/78314700/78314682/a2de975a.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/79000000/78320000/78314700/78314682/e3a7cb01.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/79000000/78320000/78314700/78314682/8671ed45.jpg?impolicy=resizecrop&rw=297&ra=fit']"
"Hotel Danieli, a Luxury Collection Hotel, Venice",5.0 star property,"Riva Degli Schiavoni, 4196, Venice, VE, 30122",4 min walk,1 320 €,"4,4/5",n,"['https://images.trvl-media.com/hotels/1000000/20000/11800/11711/a1d897f5.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/11800/11711/ddc127ab.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/11800/11711/448b1a7c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/11800/11711/b30b455a.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/20000/11800/11711/801be36a.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Giorgione,4.0 star property,"SS. Apostoli, 4587, Cannaregio, Venice, VE, 30131",1 min walk,204 €,"4,2/5",n,"['https://images.trvl-media.com/hotels/1000000/30000/22000/21909/63ab8c42.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/30000/22000/21909/eb54643e.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/30000/22000/21909/b682b307.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/30000/22000/21909/2cc3c818.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/30000/22000/21909/82a37dd3.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Bisanzio,4.0 star property,"Riva degli Schiavoni, Calle della Pieta, 3651, Venice, VE, 30122",8 min walk,286 €,"4,6/5",n,"['https://images.trvl-media.com/hotels/1000000/10000/5500/5458/af3d75ec.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/5500/5458/b798b743.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/5500/5458/07c4f65d.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/5500/5458/c9bcd1a5.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/10000/5500/5458/5cc0f93c.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Venezia Palazzo Barocci,4.5 star property,"San Marco. Corte dell'Albero 3878/A, Venice, VE, 30124",3 min walk,430 €,"4,6/5",n,"['https://images.trvl-media.com/hotels/1000000/990000/982500/982473/0dc402e9.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/990000/982500/982473/e24aec33.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/990000/982500/982473/23a5ab43.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/990000/982500/982473/9296f94e.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/990000/982500/982473/c6b8edff.jpg?impolicy=resizecrop&rw=297&ra=fit']"
