Hotel_Name,Hotel_Rating,Hotel_Address,Disitance_to_CityCenter,AVG_Price,Review_Score,Description,Photo_Links
Hotel Al Nuovo Teson,3.0 tähden majoituspaikka,"Calle Pescaria 3980/81, Venice, VE, 30122",n,266 €,"8,2/10",n,"['https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/32047803.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/4697579c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/d6e8863c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/w4894h3264x0y0-bfdb71aa.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/3000000/2550000/2542700/2542638/d0cea656.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel Ambassador Tre Rose,3.0 tähden majoituspaikka,"Sestiere San Marco 905, Venice, VE, 30124",n,222 €,"7,0/10",n,"['https://images.trvl-media.com/hotels/1000000/30000/20500/20468/0acc2115.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/30000/20500/20468/9b5ff58d.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/30000/20500/20468/edfb0573.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/30000/20500/20468/93748b53.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/30000/20500/20468/48a4af35.jpg?impolicy=resizecrop&rw=297&ra=fit']"
San Maurizio Luxury Suites,n,"S. Marco 2739, Venice, Città Metropolitana di Venezia, 30124",n,361 €,"9,6/10",n,"['https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/41cb6719.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/889bd521.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/68149bec.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/8a868d93.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/43000000/42700000/42692500/42692438/dcd2a725.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Carnival Palace Hotel,4.5 tähden majoituspaikka,"Fondamenta di Cannaregio, 929, Venice, VE, 30121",n,390 €,"9,2/10",n,"['https://images.trvl-media.com/hotels/5000000/4880000/4874300/4874282/cef6f2bb.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/5000000/4880000/4874300/4874282/08a268f6.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/5000000/4880000/4874300/4874282/f3b6d2d2.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/5000000/4880000/4874300/4874282/d25621e8.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/5000000/4880000/4874300/4874282/a82ee014.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Hotel A LA Commedia,4.0 tähden majoituspaikka,"San Marco 4596 A, Corte Del Teatro Goldoni, Venice, VE, 30124",n,230 €,"9,4/10",n,"['https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/3241d391.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/26960af0.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/f4786188.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/5439bfe8.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1500000/1499200/1499130/e4de9902.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Royal San Marco Hotel,4.0 tähden majoituspaikka,"San Marco Calle dei Fabbri, Venice, VE, 848 30124",n,327 €,"7,6/10",n,"['https://images.trvl-media.com/hotels/1000000/910000/906200/906146/a07a80ac.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/1000000/910000/906200/906146/d4a418d9.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/910000/906200/906146/b84ca772.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/910000/906200/906146/d0149d75.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/1000000/910000/906200/906146/7776542c.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Maison Venezia - UNA Esperienze,4.0 tähden majoituspaikka,"Ruga Do Pozzi, 4173, Venice, VE, 30121",n,320 €,"9,2/10",n,"['https://images.trvl-media.com/hotels/2000000/1840000/1833800/1833779/0b80f83f.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1840000/1833800/1833779/3a867902.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1840000/1833800/1833779/8d13fd61.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1840000/1833800/1833779/77be1738.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/2000000/1840000/1833800/1833779/7a58b8f4.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Palazzo Veneziano,4.5 tähden majoituspaikka,"Fondamenta delle Zattere 1413, Venice, 30123",n,477 €,"9,4/10",n,"['https://images.trvl-media.com/hotels/17000000/16780000/16775200/16775135/96e2d01d.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/17000000/16780000/16775200/16775135/fe740630.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/17000000/16780000/16775200/16775135/c2bfa070.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/17000000/16780000/16775200/16775135/9fa9faed.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/17000000/16780000/16775200/16775135/8d298640.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Palazzo Pianca,n,"2475 San Marco, Venice, 30124",n,587 €,"9,4/10",n,"['https://images.trvl-media.com/hotels/69000000/68780000/68771100/68771085/13804345.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/69000000/68780000/68771100/68771085/ce67ae0a.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/69000000/68780000/68771100/68771085/fe81603d.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/69000000/68780000/68771100/68771085/ce7ed879.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/69000000/68780000/68771100/68771085/b849956c.jpg?impolicy=resizecrop&rw=297&ra=fit']"
Venetia Domus,n,"Vianelli 634, Venice, Città Metropolitana di Venezia, 30126",n,383 €,"10,0/10",n,"['https://images.trvl-media.com/hotels/78000000/77120000/77111100/77111015/6608c71c.jpg?impolicy=resizecrop&rw=598&ra=fit', 'https://images.trvl-media.com/hotels/78000000/77120000/77111100/77111015/85e483b8.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/78000000/77120000/77111100/77111015/e1dc503c.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/78000000/77120000/77111100/77111015/87b043ac.jpg?impolicy=resizecrop&rw=297&ra=fit', 'https://images.trvl-media.com/hotels/78000000/77120000/77111100/77111015/0f3ec293.jpg?impolicy=resizecrop&rw=297&ra=fit']"
